IDRSSD,date,Financial Institution Name,Institution Name ,defaulter,Failure / Assistance ,total_assets,company ratio 1,company ratio 2,company ratio 3,company ratio 4,company ratio 5,MEV 1,MEV 2,default_within_1Y,Failure,num_records,non_defaulter,const
559777,6/30/2009,R-G PREMIER BANK OF PUERTO RICO,R-G PREMIER BANK OF PUERTO RICO,1,FAILURE,6428967,2.762237346,-1.74619542,-1.74619542,-0.954243848,-1.147691898,1.08276285,-1.928282436,1,1,36,0,1
3389434,9/30/2009,USA BANK,USA BANK,1,FAILURE,223155,0.283903933,-2.97536488,-2.97536488,-1.268950419,-0.486323447,1.175460299,-0.722746445,1,1,17,0,1
371915,3/31/2003,RELIANCE BANK,RELIANCE BANK,1,FAILURE,27536,-1.259105673,-1.65658945,-1.65658945,-0.940051648,0.100443232,0.433880701,0.951609098,1,1,11,0,1
2905604,3/31/2010,NORTH GEORGIA BANK,NORTH GEORGIA BANK,1,FAILURE,173635,0.098870713,-0.654968118,-0.654968118,-2.24945523,-0.766776075,1.08276285,1.01858332,1,1,39,0,1
3382921,3/31/2009,LIBERTYPOINTE BANK,LIBERTYPOINTE BANK,1,FAILURE,243791,0.349127041,-0.789201063,-0.789201063,-0.541815323,-0.727023515,1.08276285,-1.928282436,1,1,16,0,1
2608790,9/30/2008,"UNION BANK OF ARIZONA, NATIONAL ASSOCIATION","UNION BANK, NATIONAL ASSOCIATION",1,FAILURE,145816,-0.029894448,-0.718172017,-0.718172017,-0.840025966,0.512335396,0.248485801,-2.86592154,1,1,33,0,1
3437081,3/31/2009,CARSON RIVER COMMUNITY BANK,CARSON RIVER COMMUNITY BANK,1,FAILURE,53775,-0.765523066,-1.687141208,-1.687141208,-0.762864319,1.600435839,1.08276285,-1.928282436,1,1,12,0,1
454434,9/30/2009,"PEOPLES BANK, THE",THE PEOPLES BANK,1,FAILURE,470884,0.83458746,-2.34342322,-2.34342322,-1.246636561,-0.580274996,1.175460299,-0.722746445,1,1,37,0,1
392031,9/30/2009,COMMUNITY NATIONAL BANK AT BARTOW,COMMUNITY NATIONAL BANK AT BARTOW,1,FAILURE,75045,-0.519747931,-0.991424067,-0.991424067,-0.380840838,-0.942920651,1.175460299,-0.722746445,1,1,37,0,1
223238,9/30/2008,"JOHN WARNER BANK, THE",THE JOHN WARNER BANK,1,FAILURE,79751,-0.474895531,-0.255411245,-0.255411245,0.720179369,-1.053032434,0.248485801,-2.86592154,1,1,33,0,1
3322561,6/30/2008,METROPACIFIC BANK,METROPACIFIC BANK,1,FAILURE,67419,-0.59877332,-0.365785417,-0.365785417,-0.471502677,-0.0398329,0.155788351,-0.253926893,1,1,16,0,1
352772,12/31/2010,BANNER BANK,,0,,4188917,2.446336804,-0.702521,-0.702521,0.071955013,-0.78312539,0.89736795,0.348841103,0,,60,1,1
14409,6/30/2003,CITIZENS BANK OF MASSACHUSETTS,,0,,24958446,3.762506619,0.167092865,0.167092865,-0.296509971,0.127155091,0.433880701,0.951609098,0,,25,1,1
343341,12/31/2008,INDEPENDENT BANKERS' BANK,INDEPENDENT BANKERS' BANK,1,FAILURE,612302,1.028250737,-4.462766548,-4.462766548,-0.593216292,0.24016185,1.08276285,-1.928282436,1,1,34,0,1
1165531,9/30/2008,COMMUNITY NATIONAL BANK OF SARASOTA COUNTY,COMMUNITY NATIONAL BANK OF SARASOTA COUNTY,1,FAILURE,103598,-0.281973462,-1.738123577,-1.738123577,-0.080126712,-0.177161942,0.248485801,-2.86592154,1,1,33,0,1
759540,3/31/2015,NORTH MILWAUKEE STATE BANK,NORTH MILWAUKEE STATE BANK,1,FAILURE,78570,-0.485897719,-0.618509185,-0.618509185,-0.284428602,0.315025935,0.433880701,0.348841103,1,1,59,0,1
722777,6/30/2013,"SOVEREIGN BANK, NATIONAL ASSOCIATION",,0,,76431227,4.587839661,-0.071206661,-0.071206661,-1.174704878,-0.784935027,-0.400396348,-0.387875336,0,,16,1,1
2797724,9/30/2013,TOWNEBANK,,0,,4570927,2.510696435,0.061369654,0.061369654,-0.3827804,-0.285639515,0.341183251,1.42042865,0,,60,1,1
184937,3/31/2009,COMMUNITY BANK & TRUST,COMMUNITY BANK & TRUST,1,FAILURE,1272478,1.567688708,-0.511480794,-0.511480794,-1.039571998,-0.260315673,1.08276285,-1.928282436,1,1,35,0,1
980661,9/30/2011,FIRST HAWAIIAN BANK,,0,,15364128,3.404715367,0.209119917,0.209119917,-0.267516513,0.246581765,0.155788351,-1.057617554,0,,60,1,1
3379819,12/31/2008,COMMERCE BANK OF SOUTHWEST FLORIDA,COMMERCE BANK OF SOUTHWEST FLORIDA,1,FAILURE,77381,-0.497142779,-1.084532576,-1.084532576,-1.141528872,0.914804887,1.08276285,-1.928282436,1,1,16,0,1
264941,12/31/2008,BANK OF ELMWOOD,BANK OF ELMWOOD,1,FAILURE,342184,0.599148417,-5.455307361,-5.455307361,-0.365000806,-1.069465884,1.08276285,-1.928282436,1,1,34,0,1
816210,12/31/2008,BANCO SANTANDER PUERTO RICO,,0,,7724708,2.89763974,-0.395917167,-0.395917167,-0.286890221,-0.59137677,1.08276285,-1.928282436,0,,60,1,1
817824,9/30/2012,"PNC BANK, NATIONAL ASSOCIATION",,0,,292503471,5.577553721,0.154656506,0.154656506,-0.225599817,-0.189629669,-0.771186147,0.080944216,0,,60,1,1
181851,3/31/2008,"TEAMBANK, NATIONAL ASSOCIATION","TEAMBANK, N.A.",1,FAILURE,704541,1.131729689,-0.234870069,-0.234870069,-0.300136577,0.043142365,0.155788351,-0.253926893,1,1,31,0,1
131360,12/31/2002,FIRST REPUBLIC BANK,,0,,4861575,2.556157289,-0.05972781,-0.05972781,-0.282596267,-0.004481723,0.433880701,0.951609098,0,,25,1,1
